################################################################################
# $Header$
#
# This file was automatically generated (badly!) from the 'gismu' file
# at ftp://xiron.pc.helsinki.fi/pub/lojban/wordlists.  Uncommenting
# the entries and filling them in is work in progress.  Note that
# quite a lot of the gismu have come out with the wrong numbers of
# places, this has to be manually fixed.
#
# x1 utters verbally/says/phonates/speaks [vocally makes sound] x2                                
bacru1:A;utter
bacru2:D;uttered sound
#
# x1 is a banana/plantain [fruit/plant] of species/breed x2                                       
badna1:D;banana
badna2:S;banana species
badna2t:species
#
# x1 is sad/depressed/dejected/[unhappy/feels sorrow/grief] about x2 (abstraction)                
badri1:P;sad
badri2:D;reason* for sadness
badri2t:reason
#
# x1 runs on surface x2 using limbs x3 with gait x4                                               
bajra1:A;run
bajra2:D;running surface
bajra3:D;running limb
bajra4:S;running gait
#
# x1 is a bundle/package/cluster/clump/pack [shape/form] containing x2, held together by x3       
bakfu1:D;bundle
bakfu2:R;in bundle
bakfu3:A;hold* bundle
#
# x1 is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed x2         
bakni1:D;cattle
bakni2:S;cattle species
bakni2t:species
#
# x1 is a quantity of/contains/is made of chalk from source x2 in form x3                         
bakri1:D;chalk
bakri2:D;chalk source
bakri2t:from source
bakri3:D;chalk form
bakri3t:in form
#
# x1 is a bucket/pail/can/deep, solid, wide-topped container of contents x2, made of material x3  
baktu1:D;bucket
baktu2:S;bucket contents
baktu2t:contents
baktu3:S;bucket material
baktu3t:of material
#
# x1 is a bulb [body-part] of plant/species x2; [metaphor: rounded, bulgy]                        
balji1:D;bulb
balji2:S;bulb species
balji2t:species
#
# x1 is a balcony/overhang/ledge/shelf of building/structure x2                                   
balni1:D;balcony
balni2:D;building* with balcony
balni2t:of building
#
# x1 is a blade of tool/weapon x2                                                                 
balre1:D;blade
balre2:D;bladed weapon
balre2t:of weapon
#
# x1 is in the future of/later than/after x2 in time sequence; x1 is latter; x2 is former         
balvi1:P;later
balvi2:P;earlier
#
# x1 exceeds/is beyond limit/boundary x2 from x3 in property/amount x4 (ka/ni)                    
bancu1:A;exceed
bancu2:D;exceeded limit
bancu3:S;reference point for excess
bancu3t:by reference
bancu4:D;excess property
bancu4t:in property
#
# x1 (event) defends/protects x2 (object/state) from threat/peril/potential x3 (event)            
bandu1:A;protect
bandu2:P;protected
bandu3:D;threat
#
# x1 is an amphibian of species/breed x2                                                          
banfi1:D;amphibian
banfi2:S;amphibian species
banfi2t:species
#
# x1 is a/the language/dialect used by x2 to express/communicate x3 (si'o/du'u, not quote)        
bangu1:D;language
bangu2:A;use* language
bangu3:R;communicated* by language
bangu3t:to express
#
# x1 is great/grand in property x2 (ka) by standard x3                                            
banli1:P;great
banli2:D;property* of greatness
banli3:D;standard* of greatness
#
# x1 grows/expands [an increasing development] to size/into form x2 from x3                       
banro1:A;expand
banro2:D;size*/form* after expansion
banro2t:into form
banro3:D;size*/form* before expansion
banro3t:from form
#
# x1 is a bank owned by/in banking system x2 for banking function(s) x3 (event)                   
banxa1:D;bank
banxa2:D;banking system
banxa2t:in system
banxa3:D;banking function
banxa3t:for function
#
# x1 (object) suffices/is enough/sufficient for purpose x2 under conditions x3                    
banzu1:P;sufficient
banzu2:D;purpose* for which sufficient
banzu3:D;condition* for sufficiency
#
# x1 [force] (ka) forces/compels event x2 to occur; x1 determines property x2 to manifest         
bapli1:A;compel
bapli2:R;compelled to occur
bapli2t:compelled
#
# x1 is big/large in property/dimension(s) x2 (ka) as compared with standard/norm x3              
barda1:P;large
barda2:D;large dimension
barda2t:dimension
barda3:D;largeness standard
barda3t:standard
#
# x1 arches/curves over/around x2 and is made of x3; x1 is an arch over/around x2 of material x3  
bargu1:P;curved
bargu2:P;surrounded by curve
bargu2t:around
bargu3:S;arch material
bargu3t:of material
#
# x1 is a tavern/bar/pub serving x2 to audience/patrons x3                                        
barja1:D;tavern
barja2:R;served by tavern
barja2t:serving
barja3:D;patron* of tavern
barja3t:to patrons
#
# x1(s) is a/are mark(s)/spot(s) on x2 of material x3                                             
barna1:D;mark
barna2:P;marked
barna3:S;mark material
barna3t:of material
#
# x1 is on the outside of x2; x1 is exterior to x2                                                
bartu1:P;outside
bartu2:D;non-container
#
# x1 emphasizes/accentuates/gives emphasis/stress/accent to x2 by (action) x3                     
basna1:A;emphasize
basna2:P;emphasized
basna3:D;emphatic action
#
# x1 replaces/substitutes for/instead of x2 in circumstance x3; x1 is a replacement/substitute    
basti1:D;substitute
basti2:P;substituted
basti3:S;substitution circumstances
basti3t:in circumstances
#
# x1 bites/pinches x2 on/at specific locus x3 with x4                                             
batci1:A;bite
batci2:P;bitten
batci3:S;locus of bite
batci3t:at locus
batci4:D;biting tool
batci4t:with tool
#
# x1 is a button/knob/[handle] on/for item x2, with purpose x3, made of material x4               
batke1:D;button
batke2:R;having button
batke3:D;purpose* of button
batke3t:for purpose
batke4:S;button material
batke4t:of material
#
# x1 is a quantity of barley [grain] of species/strain x2                                         
#bavmi1:DSAP;
#bavmi2:DSAP;
#
# x1 reflects Malay-Indonesian common language/culture in aspect x2                               
#baxso1:DSAP;
#baxso2:DSAP;
#
# x1 is foolish/silly in event/action/property [folly] (ka) x2; x1 is a boob                      
bebna1:P;foolish
#
# x1 reflects North American culture/nationality/geography in aspect x2                           
#bemro1:DSAP;
#bemro2:DSAP;
#
# x1 is a crew/team/gang/squad/band of persons x2 directed/led by x3 organized for purpose x4     
bende1:D;team
bende2:D;team member
bende3:D;team leader
bende4:D;team purpose
#
# x1 reflects Bengali/Bangladesh culture/nationality/language in aspect x2                        
#bengo1:DSAP;
#bengo2:DSAP;
#
# x1 transfers/sends/transmits x2 to receiver x3 from transmitter/origin x4 via means/medium x5   
benji1:A;send
benji2:P;sent
benji3:D;receiver
benji4:D;transmitter
benji5:D;transmission means
benji5t:by means
#
# x1 is a son of mother/father/parents x2 [not necessarily biological]                            
bersa1:D;son
bersa2:D;parent* of son
#
# x1 is to the north/northern side [right-hand-rule pole] of x2 according to frame of reference x3
berti1:P;to the north
berti2:P;to the south
berti3:D;northness reference frame
berti3t:reference frame
#
# x1 is a/the brain [body-part] of x2; [metaphor: intelligence, mental control]                   
besna1:D;brain
besna2:D;body* with brain
besna2t:of body
#
# x1 is a/the abdomen/belly/lower trunk [body-part] of x2; [metaphor: midsection]                 
betfu1:D;abdomen
betfu2:D;body* with abdomen
betfu2t:of body
#
# x1 is a tragedy/disaster/tragic for x2                                                          
betri1:D;tragedy
betri2:A;suffer* tragedy
betri2t:sufferer
#
# x1 carries/hauls/bears/transports cargo x2 to x3 from x4 over path x5; x1 is a carrier/[porter] 
bevri1:A;carry
bevri2:D;carried cargo
bevri3:D;destination* of carrying
bevri4:D;origin* of carrying
bevri5:D;route* of carrying
#
# x1 is a bead/pebble [shape/form] of material x2                                                 
bidju1:D;bead
bidju2:D;bead material
bidju2t:material
#
# x1 is a bee/wasp/hornet of species/breed x2                                                     
#bifce1:DSAP;
#bifce2:DSAP;
#
# x1 whips/lashes/snaps [a sudden violent motion]                                                 
#bikla1:DSAP;
#bikla2:DSAP;
#
# x1 is bound/obliged to/has the duty to do/be x2 in/by standard/agreement x3; x1 must do x2      
bilga1:P;obliged
bilga2:D;duty
bilga3:S;standard for obligation
#
# x1 is ill/sick/diseased with symptoms x2 from disease x3                                        
bilma1:P;ill
bilma2:D;symptom
bilma3:D;disease
#
# x1 is military/regimented/is strongly organized/prepared by system x2 for purpose x3            
bilni1:P;regimented
bilni2:D;regimenting system
bilni2t:by system
bilni3:D;purpose* of regimentation
bilni3t:for purpose
#
# x1 reflects Indonesian culture/nationality/language in aspect x2                                
#bindo1:DSAP;
#bindo2:DSAP;
#
# x1 insures/indemnifies x2 (person) against peril x3 (event) providing benefit(s) x4 (event)     
binra1:A;indemnify
binra2:P;indemnified
